name,energy,diag,pca1,pca2,pca3
acetone_5_015,0.5776747,0.005,0.248872,0.411876,-0.139243
acetone_5_015,37.9834249,0.378,0.029534,0.019099,0.341586
acetone_5_015,38.15678,0.378,0.04958,0.041642,0.402496
acetone_5_015,0.5794404,0.005,0.045817,0.057107,0.410494
acetone_5_015,0.5796127,0.005,0.032307,0.043561,0.036782
acetone_5_015,0.5769618,0.005,0.032818,0.044275,0.027609
acetone_5_015,75.3687092,0.754,0.031591,0.042877,-0.013111
acetone_6_015,38.1570739,0.378,0.807706,-0.581811,0.031077
acetone_6_015,0.5773373,0.005,0.445291,0.505016,-0.449556
acetone_6_015,0.5779267,0.005,0.278329,0.455421,0.580316
acetone_6_015,0.5786315,0.005,0.251083,0.433919,-0.146581
acetone_6_015,37.9835063,0.378,0.028689,0.011683,0.33427
acetone_6_015,38.1568196,0.378,0.049855,0.038986,0.397815
acetone_6_015,0.579066,0.005,0.04709,0.055633,0.408776
acetone_6_015,0.5767646,0.005,0.033352,0.044818,0.029371
acetone_6_015,0.5780866,0.005,0.034112,0.045822,0.026346
acetone_6_015,75.368302,0.754,0.031876,0.043608,-0.005721
acetone_7_015,38.1518813,0.378,0.803628,-0.587601,0.03184
acetone_7_015,0.5772459,0.005,0.450223,0.505719,-0.457642
acetone_7_015,0.5755921,0.005,0.280385,0.450595,0.586028
acetone_7_015,0.5819599,0.005,0.253574,0.431892,-0.128653
acetone_7_015,37.9822897,0.378,0.029855,0.01558,0.373108
acetone_7_015,38.1532828,0.378,0.049114,0.036747,0.380334
acetone_7_015,0.5786169,0.005,0.045378,0.052323,0.378224
acetone_7_015,0.5808075,0.005,0.032857,0.039796,0.032989
acetone_7_015,0.5759015,0.005,0.033854,0.040848,0.035904
acetone_7_015,75.3677291,0.754,0.031258,0.042714,-0.016579
acetone_8_015,38.1499713,0.378,0.809258,-0.57936,0.036358
acetone_8_015,0.5812623,0.005,0.442231,0.499504,-0.454937
acetone_8_015,0.578679,0.005,0.280084,0.469636,0.555528
acetone_8_015,0.5787908,0.005,0.249596,0.427359,-0.141082
acetone_8_015,37.9836722,0.378,0.030523,0.01611,0.376133
acetone_8_015,38.1538011,0.378,0.049986,0.041791,0.404156
acetone_8_015,0.5779844,0.005,0.04597,0.057121,0.395639
acetone_8_015,0.5801069,0.005,0.033414,0.045191,0.028518
acetone_8_015,0.5742364,0.005,0.033517,0.049361,0.029275
acetone_8_015,75.3690443,0.754,0.031686,0.04355,-0.013293
acetone_9_015,38.1568303,0.378,0.804962,-0.586872,0.015844
acetone_9_015,0.5782114,0.005,0.452305,0.529343,-0.46025
acetone_9_015,0.5786695,0.005,0.276198,0.428875,0.600269
acetone_9_015,0.5794762,0.005,0.249668,0.42792,-0.081431
acetone_9_015,37.9804001,0.378,0.029146,0.002304,0.336021
acetone_9_015,38.14532,0.378,0.050872,0.024791,0.390225
acetone_9_015,0.5823082,0.005,0.045971,0.043017,0.391706
acetone_9_015,0.5816445,0.005,0.033234,0.043899,0.032784
acetone_9_015,0.5794739,0.005,0.034234,0.044985,0.035664
acetone_9_015,75.368704,0.754,0.031781,0.043669,-0.00017
aniline_0_01,38.12431,0.378,0.705634,-0.599859,0.147683
aniline_0_01,38.1205013,0.378,0.384008,0.004444,-0.20918
aniline_0_01,38.1244841,0.378,0.381524,0.607328,0.370202
aniline_0_01,38.1201809,0.378,0.268432,0.212968,-0.823822
aniline_0_01,38.1235137,0.378,0.218522,0.281464,0.201942
aniline_0_01,38.0580983,0.378,0.210887,0.244356,0.008412
aniline_0_01,0.5822089,0.005,0.179336,0.19969,-0.017589
aniline_0_01,0.5818301,0.005,0.070588,-0.096534,0.26068
aniline_0_01,0.581916,0.005,0.055924,-0.191095,-0.045175
aniline_0_01,0.5811095,0.005,0.040018,0.015218,0.011214
aniline_0_01,0.5832052,0.005,0.033034,-0.014977,-0.084359
aniline_0_01,54.9580256,0.547,0.026442,0.019002,0.007604
aniline_0_01,0.5218068,0.005,0.024859,0.01511,-0.015057
aniline_0_01,0.5217288,0.005,0.022268,0.016039,-0.004305
aniline_0_05,38.1233414,0.378,0.705166,-0.606333,0.097848
aniline_0_05,38.1166004,0.378,0.3917,0.035065,-0.116857
aniline_0_05,38.1184905,0.378,0.374815,0.59358,0.314069
aniline_0_05,38.1157297,0.378,0.267572,0.226062,-0.85147
aniline_0_05,38.1191983,0.378,0.219487,0.273646,0.248527
aniline_0_05,38.0563045,0.378,0.209901,0.24771,0.075511
aniline_0_05,0.5794126,0.005,0.179472,0.204478,0.018802
aniline_0_05,0.5824522,0.005,0.072644,-0.127096,0.269185
aniline_0_05,0.5804238,0.005,0.055488,-0.179379,-0.065141
aniline_0_05,0.5790467,0.005,0.039547,0.013716,0.006376
aniline_0_05,0.5842656,0.005,0.032503,-0.015625,-0.09169
aniline_0_05,54.9538783,0.547,0.026201,0.01817,0.007417
aniline_0_05,0.5189367,0.005,0.025074,0.016693,-0.009852
aniline_0_05,0.5200425,0.005,0.022249,0.016281,-0.002124
aniline_10_01,38.1259026,0.378,-0.705527,0.598213,-0.158576
aniline_10_01,38.1217023,0.378,-0.382604,0.000537,0.225248
aniline_10_01,38.1246735,0.378,-0.38311,-0.611544,-0.372633
aniline_10_01,38.1186719,0.378,-0.268402,-0.206664,0.81852
aniline_10_01,38.1203562,0.378,-0.218757,-0.281868,-0.193371
aniline_10_01,38.0578583,0.378,-0.210868,-0.242759,-0.000623
aniline_10_01,0.580365,0.005,-0.179321,-0.197812,0.025056
aniline_10_01,0.5802786,0.005,-0.070268,0.089646,-0.261044
