e,an,bnd1,ang1,cmdt1,cmdb1,cmod1,cmevs1,cmevl1,bnd2,cmdt2,cmdb2,cmod2,cmevs2,cmevl2,bnd3,cmdt3,cmdb3,cmod3,cmevs3,cmevlbnd3,bnd4,cmdt3,cmdb3,cmod3,cmevs3,cmevl3
0.5771206,1,1.084,118.9,0.500,36.858,5.535,-0.324,37.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5808907,1,1.087,119.7,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.125252,6,1.090,119.1,36.858,0.500,5.505,-0.315,37.673,1.381,36.858,36.858,26.068,10.790,62.926,1.411,36.858,36.858,25.514,11.344,62.372,0,0,0,0,0,0
38.1195112,6,1.086,119.1,36.858,0.500,5.525,-0.321,37.679,1.377,36.858,36.858,26.144,10.714,63.002,1.411,36.858,36.858,25.514,11.344,62.372,0,0,0,0,0,0
0.5821985,1,1.090,119.8,0.500,36.858,5.505,-0.315,37.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5804478,1,1.086,119.1,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.4405106,8,0.967,108.5,73.517,0.500,8.273,-0.426,74.443,1.371,73.517,36.858,35.011,15.669,94.706,0,0,0,0,0,0,0,0,0,0,0,0
0.475366,1,0.967,108.5,0.500,73.517,8.273,-0.426,74.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1212936,6,1.087,118.7,36.858,0.500,5.520,-0.320,37.678,1.380,36.858,36.858,26.087,10.771,62.945,1.412,36.858,36.858,25.496,11.362,62.354,0,0,0,0,0,0
38.1200154,6,1.086,118.6,36.858,0.500,5.525,-0.321,37.679,1.380,36.858,36.858,26.087,10.771,62.945,1.418,36.858,36.858,25.388,11.470,62.246,0,0,0,0,0,0
38.1231829,6,1.418,118.6,36.858,36.858,25.388,11.470,62.246,1.435,36.858,36.858,25.087,11.771,61.945,1.437,36.858,36.858,25.052,11.806,61.910,0,0,0,0,0,0
38.121036,6,1.418,118.3,36.858,36.858,25.388,11.470,62.246,1.419,36.858,36.858,25.370,11.488,62.228,1.437,36.858,36.858,25.052,11.806,61.910,0,0,0,0,0,0
38.1188037,6,1.089,118.3,36.858,0.500,5.510,-0.317,37.675,1.377,36.858,36.858,26.144,10.714,63.002,1.419,36.858,36.858,25.370,11.488,62.228,0,0,0,0,0,0
38.1221725,6,1.088,119.8,36.858,0.500,5.515,-0.318,37.676,1.377,36.858,36.858,26.144,10.714,63.002,1.412,36.858,36.858,25.496,11.362,62.354,0,0,0,0,0,0
0.5810938,1,1.087,119.8,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5822104,1,1.086,118.7,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.0542512,6,1.388,114.0,36.858,36.858,25.937,10.921,62.795,1.396,36.858,53.359,30.086,13.912,76.305,1.435,36.858,36.858,25.087,11.771,61.945,0,0,0,0,0,0
38.1210532,6,1.086,119.2,36.858,0.500,5.525,-0.321,37.679,1.377,36.858,36.858,26.144,10.714,63.002,1.418,36.858,36.858,25.388,11.470,62.246,0,0,0,0,0,0
0.5812979,1,1.089,118.3,0.500,36.858,5.510,-0.317,37.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5809941,1,1.088,119.8,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1197971,6,1.088,118.9,36.858,0.500,5.515,-0.318,37.676,1.377,36.858,36.858,26.144,10.714,63.002,1.409,36.858,36.858,25.550,11.308,62.408,0,0,0,0,0,0
38.1232504,6,1.088,118.9,36.858,0.500,5.515,-0.318,37.676,1.388,36.858,36.858,25.937,10.921,62.795,1.409,36.858,36.858,25.550,11.308,62.408,0,0,0,0,0,0
0.5820138,1,1.086,119.2,0.500,36.858,5.525,-0.321,37.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5811214,1,1.088,118.9,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5828433,1,1.088,119.3,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.9594804,7,1.011,111.3,53.359,0.500,6.924,-0.392,54.251,1.011,53.359,0.500,6.924,-0.392,54.251,1.396,53.359,36.858,30.086,13.912,76.305,0,0,0,0,0,0
0.5215142,1,1.011,111.3,0.500,53.359,6.924,-0.392,54.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5207771,1,1.011,111.3,0.500,53.359,6.924,-0.392,54.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1226897,6,1.088,119.5,36.858,0.500,5.515,-0.318,37.676,1.378,36.858,36.858,26.125,10.733,62.983,1.415,36.858,36.858,25.442,11.416,62.300,0,0,0,0,0,0
38.1187438,6,1.088,118.7,36.858,0.500,5.515,-0.318,37.676,1.378,36.858,36.858,26.125,10.733,62.983,1.419,36.858,36.858,25.370,11.488,62.228,0,0,0,0,0,0
38.123465,6,1.417,118.4,36.858,36.858,25.406,11.452,62.264,1.419,36.858,36.858,25.370,11.488,62.228,1.437,36.858,36.858,25.052,11.806,61.910,0,0,0,0,0,0
38.120902,6,1.414,118.4,36.858,36.858,25.460,11.398,62.318,1.420,36.858,36.858,25.352,11.506,62.210,1.437,36.858,36.858,25.052,11.806,61.910,0,0,0,0,0,0
38.1196221,6,1.088,118.4,36.858,0.500,5.515,-0.318,37.676,1.378,36.858,36.858,26.125,10.733,62.983,1.420,36.858,36.858,25.352,11.506,62.210,0,0,0,0,0,0
38.1212371,6,1.087,119.5,36.858,0.500,5.520,-0.320,37.678,1.378,36.858,36.858,26.125,10.733,62.983,1.415,36.858,36.858,25.442,11.416,62.300,0,0,0,0,0,0
0.5803104,1,1.088,119.0,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5810287,1,1.088,119.7,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5814518,1,1.088,118.7,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1169138,6,1.088,118.4,36.858,0.500,5.515,-0.318,37.676,1.377,36.858,36.858,26.144,10.714,63.002,1.417,36.858,36.858,25.406,11.452,62.264,0,0,0,0,0,0
38.1204129,6,1.087,118.4,36.858,0.500,5.520,-0.320,37.678,1.380,36.858,36.858,26.087,10.771,62.945,1.414,36.858,36.858,25.460,11.398,62.318,0,0,0,0,0,0
0.581193,1,1.088,118.7,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5808839,1,1.087,119.5,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.0224921,6,1.372,108.8,36.858,73.517,34.985,15.692,94.683,1.380,36.858,36.858,26.087,10.771,62.945,1.417,36.858,36.858,25.406,11.452,62.264,0,0,0,0,0,0
38.1243014,6,1.089,119.6,36.858,0.500,5.510,-0.317,37.675,1.377,36.858,36.858,26.144,10.714,63.002,1.417,36.858,36.858,25.406,11.452,62.264,0,0,0,0,0,0
0.5783298,1,1.087,119.4,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5816026,1,1.089,119.6,0.500,36.858,5.510,-0.317,37.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.4386548,8,0.966,108.8,73.517,0.500,8.282,-0.428,74.445,1.372,73.517,36.858,34.985,15.692,94.683,0,0,0,0,0,0,0,0,0,0,0,0
0.4765032,1,0.966,108.8,0.500,73.517,8.282,-0.428,74.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1222896,6,1.087,119.6,36.858,0.500,5.520,-0.320,37.678,1.378,36.858,36.858,26.125,10.733,62.983,1.415,36.858,36.858,25.442,11.416,62.300,0,0,0,0,0,0
38.1191219,6,1.088,118.7,36.858,0.500,5.515,-0.318,37.676,1.378,36.858,36.858,26.125,10.733,62.983,1.417,36.858,36.858,25.406,11.452,62.264,0,0,0,0,0,0
38.123043,6,1.417,118.6,36.858,36.858,25.406,11.452,62.264,1.418,36.858,36.858,25.388,11.470,62.246,1.436,36.858,36.858,25.070,11.788,61.928,0,0,0,0,0,0
38.1219296,6,1.418,118.6,36.858,36.858,25.388,11.470,62.246,1.419,36.858,36.858,25.370,11.488,62.228,1.436,36.858,36.858,25.070,11.788,61.928,0,0,0,0,0,0
38.1194885,6,1.088,118.7,36.858,0.500,5.515,-0.318,37.676,1.377,36.858,36.858,26.144,10.714,63.002,1.419,36.858,36.858,25.370,11.488,62.228,0,0,0,0,0,0
38.1216396,6,1.087,119.6,36.858,0.500,5.520,-0.320,37.678,1.377,36.858,36.858,26.144,10.714,63.002,1.415,36.858,36.858,25.442,11.416,62.300,0,0,0,0,0,0
0.5804799,1,1.088,118.8,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5807861,1,1.087,119.6,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58116,1,1.088,118.7,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.118725,6,1.088,118.6,36.858,0.500,5.515,-0.318,37.676,1.377,36.858,36.858,26.144,10.714,63.002,1.418,36.858,36.858,25.388,11.470,62.246,0,0,0,0,0,0
38.1202527,6,1.087,119.1,36.858,0.500,5.520,-0.320,37.678,1.378,36.858,36.858,26.125,10.733,62.983,1.418,36.858,36.858,25.388,11.470,62.246,0,0,0,0,0,0
0.5811228,1,1.088,118.7,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5807101,1,1.087,119.6,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.0227721,6,1.378,109.1,36.858,36.858,26.125,10.733,62.983,1.392,36.858,73.517,34.483,16.136,94.239,1.416,36.858,36.858,25.424,11.434,62.282,0,0,0,0,0,0
38.122193,6,1.087,118.6,36.858,0.500,5.520,-0.320,37.678,1.377,36.858,36.858,26.144,10.714,63.002,1.416,36.858,36.858,25.424,11.434,62.282,0,0,0,0,0,0
0.5789247,1,1.087,119.4,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5779651,1,1.087,118.6,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.4362022,8,0.967,109.1,73.517,0.500,8.273,-0.426,74.443,1.392,73.517,36.858,34.483,16.136,94.239,0,0,0,0,0,0,0,0,0,0,0,0
0.4767964,1,0.967,109.1,0.500,73.517,8.273,-0.426,74.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.1223378,6,1.087,119.6,36.858,0.500,5.520,-0.320,37.678,1.377,36.858,36.858,26.144,10.714,63.002,1.415,36.858,36.858,25.442,11.416,62.300,0,0,0,0,0,0
38.1190787,6,1.088,118.7,36.858,0.500,5.515,-0.318,37.676,1.377,36.858,36.858,26.144,10.714,63.002,1.419,36.858,36.858,25.370,11.488,62.228,0,0,0,0,0,0
38.1230853,6,1.418,118.6,36.858,36.858,25.388,11.470,62.246,1.419,36.858,36.858,25.370,11.488,62.228,1.436,36.858,36.858,25.070,11.788,61.928,0,0,0,0,0,0
38.121734,6,1.418,118.6,36.858,36.858,25.388,11.470,62.246,1.420,36.858,36.858,25.352,11.506,62.210,1.436,36.858,36.858,25.070,11.788,61.928,0,0,0,0,0,0
38.1195457,6,1.088,118.7,36.858,0.500,5.515,-0.318,37.676,1.377,36.858,36.858,26.144,10.714,63.002,1.420,36.858,36.858,25.352,11.506,62.210,0,0,0,0,0,0
38.1215966,6,1.088,119.6,36.858,0.500,5.515,-0.318,37.676,1.377,36.858,36.858,26.144,10.714,63.002,1.415,36.858,36.858,25.442,11.416,62.300,0,0,0,0,0,0
0.5804529,1,1.089,118.8,0.500,36.858,5.510,-0.317,37.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5807988,1,1.087,119.7,0.500,36.858,5.520,-0.320,37.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5811573,1,1.088,118.7,0.500,36.858,5.515,-0.318,37.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
